Year,Candidate_ID,Name,State,Category,Prelims_Score,Mains_Score,Interview_Score,Final_Score,AIR (All India Rank),Category_Rank,State_Rank,Selection_Status,Service_Allotted
2020,UPSC458528,Candidate_4564,Delhi,SC,74,608,166,848,5280,4652,275,Yes,None
2017,UPSC959971,Candidate_4624,Tamil Nadu,SC,81,454,120,655,5886,1524,269,No,None
2016,UPSC967187,Candidate_7936,Uttar Pradesh,ST,95,544,260,899,11569,707,165,Yes,IFS
2019,UPSC376481,Candidate_7765,Uttar Pradesh,SC,193,884,252,1329,11735,3885,323,Yes,IAS
2018,UPSC400922,Candidate_9271,Karnataka,ST,129,619,256,1004,3277,2513,489,Yes,IRS
2023,UPSC540074,Candidate_2084,Maharashtra,OBC,112,867,171,1150,13090,2399,175,Yes,IAS
2022,UPSC545260,Candidate_9074,Maharashtra,SC,188,375,186,749,19555,1771,24,Yes,IFS
2018,UPSC324397,Candidate_3432,Tamil Nadu,OBC,82,373,133,588,7021,1221,347,No,None
2015,UPSC300434,Candidate_1522,Delhi,SC,197,874,253,1324,5948,4936,423,Yes,None
2019,UPSC788877,Candidate_3957,Uttar Pradesh,SC,67,434,94,595,3530,2651,290,No,None
2016,UPSC710026,Candidate_3794,Tamil Nadu,ST,105,845,257,1207,8533,4973,206,Yes,IFS
2018,UPSC140373,Candidate_6975,Delhi,EWS,101,712,193,1006,19888,1325,51,Yes,None
2018,UPSC514870,Candidate_4780,Uttar Pradesh,ST,172,438,94,704,16885,4071,403,Yes,IFS
2017,UPSC437604,Candidate_6418,Delhi,ST,87,422,166,675,2859,412,370,No,None
2023,UPSC196446,Candidate_3999,Delhi,General,116,731,241,1088,12529,3143,158,Yes,IPS
2021,UPSC918850,Candidate_8196,Tamil Nadu,OBC,183,715,252,1150,1969,2587,248,Yes,None
2016,UPSC186883,Candidate_7604,Uttar Pradesh,OBC,144,621,204,969,11795,2229,383,Yes,IFS
2021,UPSC912863,Candidate_9355,Uttar Pradesh,EWS,183,325,204,712,9270,2922,95,Yes,IPS
2017,UPSC931794,Candidate_2425,Delhi,EWS,150,684,176,1010,4760,486,397,Yes,IFS
2018,UPSC330462,Candidate_7361,West Bengal,ST,156,619,73,848,2325,3111,290,Yes,IPS
2016,UPSC221791,Candidate_6120,West Bengal,OBC,136,689,188,1013,16791,4455,282,Yes,IPS
2021,UPSC445598,Candidate_4528,West Bengal,ST,193,787,264,1244,12155,819,187,Yes,IRS
2024,UPSC939751,Candidate_3642,Delhi,General,97,646,52,795,2979,4999,72,Yes,IPS
2019,UPSC193038,Candidate_8149,Maharashtra,EWS,75,750,227,1052,3384,3807,176,Yes,IPS
2024,UPSC645462,Candidate_4629,Uttar Pradesh,OBC,177,452,80,709,11281,2701,440,Yes,None
2022,UPSC336416,Candidate_4567,Karnataka,ST,99,807,84,990,5850,3748,96,Yes,None
2018,UPSC928172,Candidate_2243,Karnataka,OBC,141,460,164,765,870,4141,129,Yes,IFS
2024,UPSC537416,Candidate_6512,Karnataka,OBC,132,328,129,589,12830,45,37,No,None
2018,UPSC164319,Candidate_9581,Karnataka,OBC,52,846,64,962,3348,2749,351,Yes,IRS
2017,UPSC639107,Candidate_8337,West Bengal,OBC,85,730,117,932,10248,3426,16,Yes,IPS
2019,UPSC694078,Candidate_2277,Karnataka,SC,167,606,161,934,14432,4516,345,Yes,IAS
2024,UPSC316570,Candidate_6564,Tamil Nadu,SC,80,658,238,976,714,315,174,Yes,IRS
2021,UPSC349800,Candidate_3087,Uttar Pradesh,ST,98,543,209,850,13959,1468,237,Yes,IRS
2019,UPSC391350,Candidate_7520,Karnataka,OBC,98,690,93,881,6115,1371,208,Yes,IRS
2018,UPSC614678,Candidate_8668,Karnataka,General,58,829,57,944,18551,3050,103,Yes,None
2018,UPSC725932,Candidate_8357,Maharashtra,SC,81,689,220,990,4539,2945,162,Yes,IFS
2018,UPSC171518,Candidate_6519,Karnataka,General,193,860,63,1116,1962,3134,363,Yes,IPS
2017,UPSC278629,Candidate_6600,Tamil Nadu,ST,100,310,175,585,1360,2218,59,No,None
2016,UPSC752957,Candidate_5759,West Bengal,General,84,498,202,784,6344,127,46,Yes,IRS
2016,UPSC555613,Candidate_7845,Karnataka,OBC,193,663,129,985,7926,1805,334,Yes,None
2016,UPSC622771,Candidate_9772,West Bengal,ST,169,766,104,1039,17718,1072,478,Yes,IPS
2018,UPSC145324,Candidate_9597,Karnataka,EWS,117,686,222,1025,12478,4959,324,Yes,None
2019,UPSC637290,Candidate_4918,Karnataka,OBC,122,736,163,1021,5912,1666,185,Yes,IAS
2022,UPSC248236,Candidate_3516,Uttar Pradesh,OBC,191,814,67,1072,4411,1222,139,Yes,None
2023,UPSC736666,Candidate_5346,Tamil Nadu,ST,157,789,85,1031,3553,2705,188,Yes,None
2017,UPSC442530,Candidate_9731,Delhi,EWS,99,572,205,876,3438,2471,438,Yes,IRS
2018,UPSC399246,Candidate_6152,Karnataka,ST,89,323,162,574,242,3616,238,No,None
2023,UPSC113585,Candidate_4769,West Bengal,ST,100,777,74,951,16816,122,498,Yes,IFS
2021,UPSC355867,Candidate_6263,Maharashtra,SC,187,464,109,760,9034,3801,8,Yes,IPS
2017,UPSC727767,Candidate_4917,West Bengal,ST,50,855,263,1168,11071,4922,71,Yes,None
2024,UPSC335783,Candidate_9289,Karnataka,OBC,139,371,147,657,7076,925,406,No,None
2017,UPSC763179,Candidate_3501,Maharashtra,SC,100,862,154,1116,7276,2073,228,Yes,IPS
2024,UPSC539761,Candidate_6856,Karnataka,EWS,146,358,130,634,8209,3525,275,No,None
2017,UPSC699052,Candidate_7575,Maharashtra,ST,176,698,171,1045,18903,2660,344,Yes,IAS
2016,UPSC613944,Candidate_3777,Karnataka,ST,53,619,238,910,13038,1047,262,Yes,IAS
2023,UPSC229165,Candidate_9053,Delhi,EWS,51,677,143,871,8429,1333,148,Yes,IRS
2023,UPSC427483,Candidate_1537,West Bengal,ST,159,592,64,815,6622,2138,23,Yes,IRS
2018,UPSC915700,Candidate_9663,Uttar Pradesh,EWS,132,479,142,753,93,892,53,Yes,IFS
2024,UPSC456876,Candidate_8624,Maharashtra,OBC,89,651,111,851,6091,3159,163,Yes,IFS
2019,UPSC609244,Candidate_8534,Tamil Nadu,ST,146,417,130,693,16307,704,436,No,None
2018,UPSC603360,Candidate_3176,Maharashtra,ST,194,583,217,994,9461,4570,160,Yes,IFS
2020,UPSC631316,Candidate_1887,Uttar Pradesh,SC,79,692,166,937,6746,3302,157,Yes,IFS
2020,UPSC184746,Candidate_5331,Karnataka,EWS,177,730,115,1022,18871,4234,207,Yes,IAS
2015,UPSC338717,Candidate_9094,Uttar Pradesh,EWS,54,477,178,709,6665,2868,193,Yes,IAS
2021,UPSC756097,Candidate_8136,Maharashtra,ST,168,851,144,1163,11080,4246,466,Yes,IFS
2017,UPSC869895,Candidate_3866,Maharashtra,OBC,117,480,106,703,19837,2929,459,Yes,IRS
2023,UPSC511957,Candidate_7923,Delhi,General,111,867,199,1177,12690,2714,417,Yes,IFS
2024,UPSC175291,Candidate_4459,West Bengal,OBC,191,496,143,830,3719,3960,17,Yes,IPS
2020,UPSC227312,Candidate_7792,Uttar Pradesh,SC,84,806,227,1117,8737,1218,403,Yes,IPS
2019,UPSC854915,Candidate_1517,Uttar Pradesh,General,50,813,158,1021,5209,30,164,Yes,IAS
2023,UPSC705824,Candidate_8320,Maharashtra,SC,167,693,218,1078,8806,3090,123,Yes,IPS
2016,UPSC528787,Candidate_8228,Karnataka,ST,63,402,139,604,6654,3754,455,No,None
2019,UPSC205785,Candidate_4700,Karnataka,ST,101,771,110,982,101,627,164,Yes,None
2015,UPSC728789,Candidate_7312,Maharashtra,General,143,731,147,1021,7009,3999,326,Yes,IPS
2022,UPSC246303,Candidate_3698,Uttar Pradesh,ST,73,423,253,749,17262,1154,82,Yes,None
2024,UPSC313198,Candidate_4285,West Bengal,EWS,122,527,149,798,13277,463,209,Yes,IPS
2016,UPSC934266,Candidate_1425,Uttar Pradesh,EWS,180,398,217,795,7938,4566,426,Yes,IAS
2020,UPSC119594,Candidate_9347,West Bengal,ST,182,568,214,964,13579,4523,174,Yes,None
2017,UPSC844934,Candidate_9191,West Bengal,OBC,66,400,250,716,4523,556,262,Yes,None
2021,UPSC774465,Candidate_7797,Delhi,ST,152,454,181,787,13881,4133,482,Yes,IAS
2022,UPSC756791,Candidate_6519,Karnataka,ST,101,377,100,578,7512,192,339,No,None
2016,UPSC144766,Candidate_3829,Maharashtra,OBC,197,618,186,1001,19898,3308,99,Yes,IFS
2015,UPSC660426,Candidate_7802,Uttar Pradesh,General,97,826,133,1056,14851,3908,426,Yes,IFS
2019,UPSC790051,Candidate_6321,West Bengal,EWS,60,603,127,790,19715,4579,265,Yes,IPS
2018,UPSC974071,Candidate_3901,Maharashtra,General,132,464,55,651,16427,1710,107,No,None
2017,UPSC278433,Candidate_2781,Uttar Pradesh,EWS,125,871,214,1210,7455,3451,475,Yes,None
2022,UPSC162898,Candidate_4782,Tamil Nadu,EWS,57,467,134,658,10365,2197,425,No,None
2020,UPSC164075,Candidate_9731,Tamil Nadu,OBC,164,437,207,808,9232,2221,395,Yes,IPS
2016,UPSC193778,Candidate_6405,Tamil Nadu,ST,83,843,150,1076,3108,1823,129,Yes,IFS
